repo_full,detector_family,detector_variant,affected_metrics,dimensionality,duration_weeks,contrast,metric,altered_scenarios,observed_scenarios,difference_in_means,ci95_low,ci95_high,interpretation
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,strict_incremental_episode_detected,100,100,-0.020000000000000004,-0.07451862304978127,0.03451862304978127,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,total_operational_episode_detected,100,100,-0.04,-0.10592338589036457,0.025923385890364574,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,-0.020000000000000004,-0.07451862304978127,0.03451862304978127,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,-0.06999999999999999,-0.14707580850729518,0.007075808507295195,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,-0.06,-0.13928444692858874,0.019284446928588744,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,-0.06,-0.13928444692858874,0.019284446928588744,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,strict_incremental_detection_delay_weeks,3,5,0.0,0.0,0.0,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,-0.08,-0.18932156795407426,0.029321567954074257,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_spillover_weeks,100,100,-0.06,-0.13511258301080326,0.015112583010803246,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,-0.019999999999999997,-0.05890118198290873,0.018901181982908737,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,incremental_boundary_overlap,99,98,-0.005359719645433931,-0.04581939711132722,0.035099957820459354,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,injection_relative_precision,82,85,-0.02840746054519369,-0.08068762123540191,0.023872700145014525,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,-0.0015858585858585725,-0.004768525522737816,0.0015968083510206703,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,strict_incremental_episode_detected,100,100,-0.14999999999999997,-0.27981515863872974,-0.020184841361270217,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,total_operational_episode_detected,100,100,-0.14999999999999997,-0.28076816181411063,-0.019231838185889305,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,-0.14999999999999997,-0.27981515863872974,-0.020184841361270217,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,-0.14999999999999997,-0.27981515863872974,-0.020184841361270217,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,-0.14999999999999997,-0.27981515863872974,-0.020184841361270217,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,-0.14999999999999997,-0.27981515863872974,-0.020184841361270217,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,strict_incremental_detection_delay_weeks,26,41,0.0065666041275797005,-0.1545779376678964,0.1677111459230558,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,-0.19,-0.36257174309245144,-0.01742825690754854,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_spillover_weeks,100,100,-0.020000000000000004,-0.07451862304978127,0.03451862304978127,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,-0.009999999999999998,-0.040325269332778614,0.020325269332778617,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,incremental_boundary_overlap,100,100,-0.08000000000000002,-0.15592753546690166,-0.004072464533098369,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,injection_relative_precision,82,79,-0.08796439230215092,-0.1808451053987684,0.004916320794466578,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,-4.22832980972454e-05,-0.002800185811670045,0.0027156192154755543,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,strict_incremental_episode_detected,100,100,-0.010000000000000009,-0.14927464562434833,0.12927464562434832,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,total_operational_episode_detected,100,100,0.0,-0.13917709971019834,0.13917709971019834,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,-0.010000000000000009,-0.14927464562434833,0.12927464562434832,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,-0.010000000000000009,-0.14927464562434833,0.12927464562434832,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,-0.010000000000000009,-0.14927464562434833,0.12927464562434832,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,-0.010000000000000009,-0.14927464562434833,0.12927464562434832,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,strict_incremental_detection_delay_weeks,50,51,-0.035686274509803884,-0.3236451745602683,0.25227262554066054,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,-0.09000000000000008,-0.4164170625823487,0.23641706258234851,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_spillover_weeks,100,100,0.02,-0.007577730894124262,0.04757773089412426,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,-0.0025000000000000022,-0.02553005069257675,0.020530050692576747,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,incremental_boundary_overlap,100,100,-0.027500000000000024,-0.10937129602430762,0.05437129602430757,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,injection_relative_precision,77,82,0.030160489916587374,-0.09488290876863922,0.15520388860181397,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,-0.0009756097560975566,-0.0044210616178376825,0.0024698421056425688,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,strict_incremental_episode_detected,100,100,0.10000000000000009,-0.033775056488216604,0.23377505648821678,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,total_operational_episode_detected,100,100,0.12,-0.012668254942025142,0.25266825494202516,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,0.10000000000000009,-0.033775056488216604,0.23377505648821678,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,0.10000000000000009,-0.033775056488216604,0.23377505648821678,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,0.10000000000000009,-0.033775056488216604,0.23377505648821678,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,0.10000000000000009,-0.033775056488216604,0.23377505648821678,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,strict_incremental_detection_delay_weeks,68,58,0.029918864097363107,-0.33900418599570925,0.39884191419043546,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,0.21999999999999997,-0.16784302854497446,0.6078430285449744,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_spillover_weeks,100,100,0.0,0.0,0.0,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,0.0012500000000000011,-0.013290069433293864,0.015790069433293866,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,incremental_boundary_overlap,100,100,0.02732142857142858,-0.021155746848702993,0.07579860399156016,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,injection_relative_precision,81,74,0.003078078078078139,-0.1073253353557933,0.11348149151194958,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,0.0037837837837837816,6.682011935938998e-05,0.007500747448208173,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,strict_incremental_episode_detected,100,100,0.03,-0.04325572717997306,0.10325572717997306,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,total_operational_episode_detected,100,100,0.020000000000000004,-0.05967501307017725,0.09967501307017726,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,0.03,-0.04325572717997306,0.10325572717997306,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,0.0,-0.07972369930330007,0.07972369930330007,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,0.0,-0.07972369930330007,0.07972369930330007,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,0.0,-0.07972369930330007,0.07972369930330007,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,strict_incremental_detection_delay_weeks,9,6,0.0,0.0,0.0,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,0.030000000000000013,-0.08457279098789458,0.1445727909878946,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_spillover_weeks,100,100,0.0,-0.06071448231923206,0.06071448231923206,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,-0.01,-0.04383307735542465,0.02383307735542465,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,incremental_boundary_overlap,97,100,0.022164948453608238,-0.040412104422956396,0.08474200133017287,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,injection_relative_precision,88,86,0.0006606765327695635,-0.052055411417066,0.05337676448260513,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,0.0006666666666666626,-0.0020617033676605286,0.003395036700993854,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,strict_incremental_episode_detected,100,100,-0.020000000000000018,-0.15096089318150285,0.11096089318150282,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,total_operational_episode_detected,100,100,-0.019999999999999962,-0.15284362614210248,0.11284362614210255,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,-0.020000000000000018,-0.15096089318150285,0.11096089318150282,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,-0.02999999999999997,-0.16141934274445058,0.10141934274445064,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,-0.02999999999999997,-0.16141934274445058,0.10141934274445064,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,-0.02999999999999997,-0.16141934274445058,0.10141934274445064,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,strict_incremental_detection_delay_weeks,32,34,-0.1029411764705882,-0.29745585395888824,0.09157350101771183,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,0.030000000000000027,-0.14927689607552386,0.2092768960755239,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_spillover_weeks,100,100,0.030000000000000002,-0.0210260269168089,0.08102602691680891,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,0.015,-0.013799407663019337,0.04379940766301933,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,incremental_boundary_overlap,100,100,-0.0050000000000000044,-0.08745326791169454,0.07745326791169453,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,injection_relative_precision,83,81,-0.008701472556894296,-0.11363184794301004,0.09622890282922145,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,0.00048625792811838806,-0.002425327687024782,0.003397843543261558,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,strict_incremental_episode_detected,100,100,-0.10999999999999999,-0.2472540318793637,0.027254031879363733,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,total_operational_episode_detected,100,100,-0.09999999999999998,-0.23788865447062132,0.03788865447062137,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_detected_within_0w_post,100,100,-0.10999999999999999,-0.2472540318793637,0.027254031879363733,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_detected_within_1w_post,100,100,-0.10999999999999999,-0.2472540318793637,0.027254031879363733,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_detected_within_2w_post,100,100,-0.10999999999999999,-0.2472540318793637,0.027254031879363733,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_detected_within_4w_post,100,100,-0.10999999999999999,-0.2472540318793637,0.027254031879363733,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,strict_incremental_detection_delay_weeks,38,49,-0.13963480128893657,-0.4900857111289586,0.21081610855108546,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,reference_alarm_burden,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_alarm_duration_weeks,100,100,-0.21000000000000008,-0.5143192397305975,0.0943192397305973,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_spillover_weeks,100,100,0.0,0.0,0.0,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,reference_alarm_overlap_fraction,100,100,-0.030000000000000002,-0.0513865802936299,-0.008613419706370105,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,incremental_boundary_overlap,100,100,-0.051666666666666694,-0.12779374549410405,0.02446041216077066,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,pair_unevaluable_fraction,100,100,0.0,-9.665086451891758e-19,9.665086451891758e-19,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,injection_relative_precision,80,74,-0.1585191441441441,-0.28140704121325444,-0.035631247075033734,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,low_volume_minus_observed,injection_relative_false_alarm_rate,100,100,0.004128919860627172,0.0008945020214696851,0.007363337699784658,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,8,low_volume_minus_observed,strict_incremental_episode_detected,100,100,-0.05999999999999994,-0.19802928546532733,0.07802928546532745,design-cell simulation contrast; injection starts differ across condition profiles; not paired and not a real-world causal effect
